,topics,reflection
5147,"[2, 11]",good prices   easy access to web site  i was kept informed   everything went smoothly as planned 
5148,"[1, 4]",great service great priced tyes and innmy case i only could take the wheel down not car and they changed tyre and balanced them couldnt fault them
5149,"[4, 11]",happy  very quick  price less or more the same than other nut seems more transparent what you choose you have
5150,"[0, 8]",excellent service  great value for money  would recommend
5151,"[4, 9]",arrived at mcconaughey's to get 2 front tyres fitted at half eight  place never opened till 8 45 no one greeted me so i announced my arrival  staff were sitting about on phones   no one able to switch on computers   eventually someone offered to fit tyres  next day got call from them saying they had fitted wrong tyres and could i come back  went back next day to get tyres swapped  got home and noticed alloys at front damaged  just back from getting alloys repaired  had to spend my own money to get rear alloys coated same colour  terrible experience
5152,"[4, 10]",service from  was good but the garage that fitted them damaged an alloy
5153,"[7, 10]",easy ordering local fitters awr spot on all in all 10/10 will use again
5154,"[2, 11]",great service great prices and very easy  after using  for the first time about 4 years ago and realising how easy it was to book my car in for replacement tyre  review which tyres i wanted  compare prices  book into my garage of choice and save a lot of money in the process  i won't go back to booking direct into a garage 
5155,"[2, 9]",clear communication and ease of managing order  interest in customer genuine 
5156,[3],excellent service from quote to fitting
5157,[7],easy to order  pick your own timing
5158,[7],easy to online to book and choose your garage date and am/pm slots to suit
5159,[10],good prices and fitters
5160,[1],great price  great service
5161,[8],very friendly and very helpful and very compatable with prices highly recommend thanks again
5162,[10],great service  quick and easy to use and great prices
5163,[8],highly recommend and very friendly very compatable prices thanks again
5164,"[1, 9]",good customer response 
5165,[3],tyres  great service and excellent work in a great time
5166,[4],wrong tyres sent in the first instance  replacements did not turn up  took 2 weeks to get rectified   
5167,"[3, 4]",great price and fitted on the driveonly criticism is they never checked the tracking as was requested
5168,[6],second time i have used this company  pricing very competitive and has a garage convenient to me
5169,[7],simple website with a great choice of tyres  which were delivered directly to a local tyre centre and fitted at a convenient time 
5170,[4],job was completed with an additional job of a new valve fitted on my other back tyre completely free  very satisfied and will definitely use again 
5171,[1],quality product  fast and efficient service
5172,[10],very easy to use and great price 
5173,[3],cost & availability
5174,"[2, 10]",right price and easy to access locally
5175,[1],excellent service  great price 
5176,[10],a very good service at the right price
5177,"[4, 8]",the whole experience was pretty painless  the only concern i had was that when i went back for my car  it was unlocked on the forecourt and my keys were left on full view on the counter with no staff in sight  it could very easily have been stolen 
5178,[11],so easy to make my purchase and have my tyres fitted 
5179,[9],booking is just like servicing stop  its not a guranteed booking which is frustrating despite it showing as available    waited until the night before to tell me it would be later that weekend and did it last minute so i couldnt ring to discuss  poor booking facility overall    
5180,"[6, 8]",the service was excellent  it is the 3rd time i have had tyres from   i would recommend the service but not the garage i used 
5181,[11],it is working and worth it 
5182,[0],great value for money and brilliant service 
5183,"[4, 9]",cancelled fitting twice shambles database not up to date with garages who can fit tyres of 21inches 
5184,[9],there was a mix up regarding appointment times
5185,"[6, 11]",my experience is limited to 2 purchases from different suppliers  the first about 3 yrs ago from a subaru garage in hailey was first class  whereas my recent visit to a supplier in witney was poor by comparison 
5186,[2],good options with reasonable prices
5187,[9],very good  other than the last minute change of date  they’re very good  would get 5 stars if it weren’t for that 
5188,"[4, 7]",simple  easy and a very competitive price to get my new tyres fitted
5189,"[0, 4]",simple to do  good value  everything came together without any fuss 
5190,"[1, 3, 7]",easy to order  good prices and great service 
5191,"[0, 7]",best value and easy to book    absolutely no hassle 
